"Source:","/home/jerryo/kicad/battery_pwr_brd/battery_pwr_brd_r3/battery_pwr_brd_r3.kicad_sch"
"Date:","Fri 20 Sep 2024 03:34:08 PM PDT"
"Tool:","Eeschema 7.0.11-7.0.11~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","23"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","BATT HLD COIN 20MM 2 CELL PC PIN","Battery","Battery:BatteryHolder_Keystone_103_1x20mm","Multiple-cell battery","Digikey",""
"C1, C2, C7, C8","4","0.1uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","Digikey",""
"C3, C6","2","4.7uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","Digikey",""
"C4, C5","2","1uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","Digikey",""
"D1","1","PWR_OK","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Light emitting diode","Digikey",""
"D2, D4","2","1N5819W","1N5819WS","Diode_SMD:D_SOD-123","40V 600mV@1A 1A SOD-323 Schottky Barrier Diodes, SOD-323","Digikey",""
"FB1","1","FerriteBead, 6A 1 9mΩ 33Ω@100MHz ±25% 1206 Ferrite Beads ROHS","FerriteBead_Small","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Ferrite bead, small symbol","Digikey",""
"J2","1","Output_5V","Conn_01x02","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","Output_3V3","Conn_01x02","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"Q2","1","MMBT3904","MMBT3904","Package_TO_SOT_SMD:SOT-23","0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23","Digikey",""
"R1","1","100K","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol","Digikey",""
"R2","1","2.7K","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol","Digiley",""
"R3","1","5.1K","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol","Digikey",""
"R4","1","10K","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol","Digkey",""
"SW1","1","SW_DPDT_x2","SW_DPDT_x2_1","jerrys_Library:SW_DPDT_CK_JS202011JCQN","Switch, dual pole double throw, separate symbols","Digikey",""
"U1","1","MCP1755","MCP1755_1","Package_TO_SOT_SMD:SOT-223-6","IC REG LINEAR 5V 300MA SOT23-5","Digikey",""
"U2","1","LM1117MP-3.3","LM1117MP-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","800mA Low-Dropout Linear Regulator, 3.3V fixed output, SOT-223","Digikey",""
